[Tue Oct 08 23:22:18.135214 2019] [authz_core:error] [pid 11372] [client 127.0.0.1:34508] AH01630: client denied by server configuration: /home/angel/Documents/Projects/logixla_crud_items/api/public_html/
[Tue Oct 08 23:22:18.907875 2019] [authz_core:error] [pid 11372] [client 127.0.0.1:34508] AH01630: client denied by server configuration: /home/angel/Documents/Projects/logixla_crud_items/api/public_html/favicon.ico, referer: http://127.0.0.1/
[Tue Oct 08 23:23:11.699044 2019] [authz_core:error] [pid 11376] [client 127.0.0.1:34516] AH01630: client denied by server configuration: /home/angel/Documents/Projects/logixla_crud_items/api/public_html/
[Tue Oct 08 23:23:11.998979 2019] [authz_core:error] [pid 11376] [client 127.0.0.1:34516] AH01630: client denied by server configuration: /home/angel/Documents/Projects/logixla_crud_items/api/public_html/favicon.ico, referer: http://127.0.0.1/
[Tue Oct 08 23:23:21.433465 2019] [authz_core:error] [pid 11375] [client 127.0.0.1:34518] AH01630: client denied by server configuration: /home/angel/Documents/Projects/logixla_crud_items/api/public_html/
[Tue Oct 08 23:23:21.949214 2019] [authz_core:error] [pid 11375] [client 127.0.0.1:34518] AH01630: client denied by server configuration: /home/angel/Documents/Projects/logixla_crud_items/api/public_html/favicon.ico, referer: http://127.0.0.1/
[Tue Oct 08 23:35:32.383368 2019] [php7:notice] [pid 11795] [client 127.0.0.1:34630] PHP Notice:  Array to string conversion in /home/angel/Documents/Projects/logixla_crud_items/api/public_html/api/app/models/User.php on line 84
[Tue Oct 08 23:35:32.633478 2019] [php7:warn] [pid 11795] [client 127.0.0.1:34630] PHP Warning:  file_put_contents(/home/angel/Documents/Projects/logixla_crud_items/api/public_html/api/app/log/error.log): failed to open stream: Permission denied in /home/angel/Documents/Projects/logixla_crud_items/api/public_html/api/app/helpers/server_methods.php on line 108
[Tue Oct 08 23:37:48.987484 2019] [php7:notice] [pid 11812] [client 127.0.0.1:34650] PHP Notice:  Array to string conversion in /home/angel/Documents/Projects/logixla_crud_items/api/public_html/api/app/models/User.php on line 84
[Tue Oct 08 23:38:05.449282 2019] [php7:notice] [pid 11813] [client 127.0.0.1:34656] PHP Notice:  Array to string conversion in /home/angel/Documents/Projects/logixla_crud_items/api/public_html/api/app/models/User.php on line 84
[Tue Oct 08 23:38:31.432558 2019] [php7:notice] [pid 11796] [client 127.0.0.1:34672] PHP Notice:  Array to string conversion in /home/angel/Documents/Projects/logixla_crud_items/api/public_html/api/app/models/User.php on line 84
[Tue Oct 08 23:39:10.779267 2019] [php7:notice] [pid 11797] [client 127.0.0.1:34676] PHP Notice:  Array to string conversion in /home/angel/Documents/Projects/logixla_crud_items/api/public_html/api/app/models/User.php on line 85
[Tue Oct 08 23:40:37.903919 2019] [php7:notice] [pid 11798] [client 127.0.0.1:34682] PHP Notice:  Array to string conversion in /home/angel/Documents/Projects/logixla_crud_items/api/public_html/api/app/models/User.php on line 84
[Tue Oct 08 23:40:37.914112 2019] [php7:notice] [pid 11798] [client 127.0.0.1:34682] PHP Notice:  Array to string conversion in /home/angel/Documents/Projects/logixla_crud_items/api/public_html/api/app/models/User.php on line 84
[Tue Oct 08 23:41:33.264508 2019] [php7:notice] [pid 11799] [client 127.0.0.1:34688] PHP Notice:  Array to string conversion in /home/angel/Documents/Projects/logixla_crud_items/api/public_html/api/app/models/User.php on line 84
[Tue Oct 08 23:41:57.445404 2019] [php7:notice] [pid 11795] [client 127.0.0.1:34692] PHP Notice:  Array to string conversion in /home/angel/Documents/Projects/logixla_crud_items/api/public_html/api/app/models/User.php on line 84
[Tue Oct 08 23:42:19.970295 2019] [php7:notice] [pid 11812] [client 127.0.0.1:34696] PHP Notice:  Array to string conversion in /home/angel/Documents/Projects/logixla_crud_items/api/public_html/api/app/models/User.php on line 84
[Tue Oct 08 23:45:02.147515 2019] [php7:error] [pid 11795] [client 127.0.0.1:34718] PHP Fatal error:  Uncaught Error: Call to undefined method User::add() in /home/angel/Documents/Projects/logixla_crud_items/api/public_html/api/app/controllers/Users.php:80\nStack trace:\n#0 /home/angel/Documents/Projects/logixla_crud_items/api/public_html/api/app/libraries/Core.php(58): Users->add()\n#1 /home/angel/Documents/Projects/logixla_crud_items/api/public_html/api/public/index.php(5): Core->__construct()\n#2 {main}\n  thrown in /home/angel/Documents/Projects/logixla_crud_items/api/public_html/api/app/controllers/Users.php on line 80
[Tue Oct 08 23:55:15.670763 2019] [php7:notice] [pid 11795] [client 127.0.0.1:34784] PHP Notice:  Trying to get property 'enabled' of non-object in /home/angel/Documents/Projects/logixla_crud_items/api/public_html/api/app/models/User.php on line 20
[Tue Oct 08 23:56:36.365717 2019] [php7:notice] [pid 11796] [client 127.0.0.1:34796] PHP Notice:  Trying to get property 'enabled' of non-object in /home/angel/Documents/Projects/logixla_crud_items/api/public_html/api/app/models/User.php on line 20
[Tue Oct 08 23:57:04.396306 2019] [php7:notice] [pid 11797] [client 127.0.0.1:34802] PHP Notice:  Trying to get property 'enabled' of non-object in /home/angel/Documents/Projects/logixla_crud_items/api/public_html/api/app/models/User.php on line 20
[Tue Oct 08 23:57:06.475362 2019] [php7:notice] [pid 11798] [client 127.0.0.1:34804] PHP Notice:  Trying to get property 'enabled' of non-object in /home/angel/Documents/Projects/logixla_crud_items/api/public_html/api/app/models/User.php on line 20
